ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4622,C5,314,2,47,48,250,19,6.66295423852274,0.0270549340997514,17.0611402980783,16.2107744178501,2.56059694953885,2.43297099717801,0.191494791419195,0.191494791419195,1,0
two_targets_moving_anchor_random,4622,C5,315,2,50,51,250,20.2,6.90063835341397,0.0409075815849115,16.2107744178501,15.5572680661906,2.34917026333225,2.25446795925683,0.198458459147084,0.198458459147084,1,0
two_targets_moving_anchor_random,4622,C5,316,2,96,97,250,38.6,9.8281700736765,0.0161037575172142,15.0503501059798,15.5228088986035,1.53134815465702,1.57942005299433,0.281954993767061,0.281954993767061,1,0
two_targets_moving_anchor_random,4622,C5,317,2,126,127,250,50.6,10.8136400487198,0.0264833926699246,15.0869616913566,15.1035109119135,1.39517883186269,1.39670923425101,0.309761078749637,0.309761078749637,1,0
two_targets_moving_anchor_random,4622,C5,318,2,135,136,250,54.2,12.42243685452,0.0376701623317704,15.8094638899415,16.3139714515809,1.27265399495181,1.3132666032144,0.356506364308486,0.356506364308486,1,0
two_targets_moving_anchor_random,4622,C5,319,2,174,175,250,69.8,11.4338796231571,0.0248011687496303,17.1402113822731,17.4568714482505,1.4990722263298,1.5267671187385,0.328080605592201,0.328080605592201,1,0
two_targets_moving_anchor_random,4622,C5,320,2,177,178,250,71,12.9630106504929,0.0346792933539482,17.4568714482505,16.2358148562666,1.34666798623564,1.25247253851861,0.371932010939076,0.371932010939076,1,0
two_targets_moving_anchor_random,4622,C5,321,2,241,242,250,96.6,9.37218901866112,0.0497578812491811,19.8134101411574,18.8398174108924,2.11406429188599,2.01018325317385,0.269425293557471,0.269425293557471,1,0
two_targets_moving_anchor_random,4622,C5,322,2,247,248,250,99,10.7739236456317,0.0375233337395133,16.8284397424351,16.6538214385704,1.56196018237592,1.54575268828109,0.309710067902097,0.309710067902097,1,0
two_targets_moving_anchor_random,4623,C5,323,2,104,105,250,41.8,9.71016618457749,0.0277456054243931,16.4535211671985,16.6792581302337,1.69446339583059,1.71771088292239,0.278626379880552,0.278626379880552,1,0
